id,nbr_children,career,shopping_price,cloths,underwear,sportswear,accessories
59,5.0,Tax Accountant,366.0,95,25,244,2
60,1.0,Staff Scientist,394.0,187,38,154,15
61,2.0,Statistician III,191.0,48,18,110,15
62,1.0,Assistant Manager,229.0,89,13,114,13
63,3.0,Database Administrator I,267.0,51,5,201,10
64,5.0,Engineer III,356.0,202,36,111,7
65,3.0,Account Executive,474.0,247,43,181,3
66,0.0,Web Designer II,278.0,138,24,101,15
67,1.0,Software Consultant,395.0,152,24,210,9
68,1.0,Occupational Therapist,368.0,178,8,166,16
69,5.0,Research Nurse,534.0,196,39,282,17
70,4.0,Compensation Analyst,379.0,170,26,164,19
71,5.0,Financial Advisor,356.0,63,11,277,5
72,4.0,Editor,328.0,232,31,51,14
73,1.0,Web Designer II,428.0,178,40,196,14
74,3.0,Health Coach II,502.0,223,41,231,7
75,5.0,Environmental Specialist,414.0,244,13,152,5
76,5.0,Web Designer III,470.0,131,40,291,8
77,2.0,Business Systems Development Analyst,211.0,53,32,108,18
78,4.0,Nurse Practicioner,305.0,216,38,49,2
79,4.0,Developer IV,233.0,119,24,70,20
80,4.0,Quality Engineer,366.0,238,8,108,12
81,2.0,Nurse,392.0,241,21,125,5
82,0.0,Staff Scientist,250.0,162,25,54,9
83,5.0,Geological Engineer,361.0,150,24,174,13
84,2.0,Account Executive,513.0,217,40,240,16
85,0.0,Quality Engineer,391.0,184,18,185,4
86,4.0,Automation Specialist III,448.0,240,22,184,2
87,0.0,Computer Systems Analyst I,320.0,140,41,127,12
88,1.0,Registered Nurse,125.0,30,43,46,6
89,3.0,Assistant Manager,305.0,127,43,124,11
90,3.0,Developer IV,224.0,64,31,122,7
91,5.0,Technical Writer,215.0,65,13,132,5
92,0.0,Programmer Analyst II,347.0,53,6,277,11
93,5.0,Web Developer I,373.0,40,30,287,16
94,2.0,Chief Design Engineer,422.0,85,31,299,7
95,2.0,Chemical Engineer,340.0,35,29,267,9
96,1.0,Information Systems Manager,317.0,101,39,158,19
97,4.0,Web Developer III,294.0,194,43,46,11
98,5.0,VP Sales,336.0,234,15,83,4
99,4.0,Community Outreach Specialist,538.0,204,27,292,15
100,5.0,Quality Control Specialist,375.0,149,19,196,11
101,3.0,Programmer III,399.0,146,6,243,4
102,1.0,Sales Representative,294.0,67,18,198,11
103,2.0,Electrical Engineer,284.0,117,22,128,17
104,0.0,Research Nurse,564.0,230,37,277,20
105,0.0,Financial Analyst,203.0,100,25,75,3
106,1.0,Environmental Specialist,301.0,121,25,152,3
107,0.0,Recruiting Manager,444.0,144,5,275,20
108,4.0,Account Representative IV,247.0,23,17,196,11
109,2.0,Internal Auditor,314.0,108,9,190,7
110,1.0,Administrative Officer,410.0,67,48,288,7
111,3.0,Staff Accountant IV,475.0,172,30,257,16
112,3.0,Technical Writer,280.0,124,10,135,11
113,0.0,Software Consultant,451.0,137,19,276,19
114,1.0,Recruiter,264.0,109,45,107,3
115,0.0,Web Designer II,537.0,248,33,247,9
116,4.0,Financial Advisor,511.0,171,43,277,20
117,0.0,Dental Hygienist,278.0,24,33,205,16
118,4.0,Professor,294.0,34,5,251,4
119,4.0,Senior Quality Engineer,304.0,127,34,129,14
120,1.0,Quality Control Specialist,336.0,160,18,144,14
121,2.0,Analyst Programmer,477.0,195,23,246,13
122,4.0,Structural Analysis Engineer,407.0,156,20,223,8
123,3.0,Nurse,398.0,42,42,296,18
124,0.0,Legal Assistant,344.0,179,25,128,12
125,1.0,Associate Professor,304.0,172,45,74,13
126,2.0,Product Engineer,525.0,181,46,292,6
127,4.0,VP Sales,330.0,223,33,70,4
128,5.0,Web Designer IV,344.0,203,33,106,2
129,4.0,Tax Accountant,200.0,105,6,70,19
130,1.0,Engineer I,312.0,20,29,245,18
131,2.0,Staff Scientist,212.0,98,11,92,11
132,0.0,Financial Advisor,535.0,232,13,275,15
133,5.0,Recruiting Manager,441.0,180,7,244,10
134,5.0,Health Coach I,247.0,128,48,65,6
135,2.0,Environmental Tech,447.0,165,31,248,3
136,5.0,Assistant Media Planner,327.0,33,28,254,12
137,1.0,Assistant Media Planner,353.0,192,17,127,17
138,2.0,Staff Scientist,310.0,134,18,154,4
139,0.0,Data Coordiator,483.0,195,19,265,4
140,2.0,Accounting Assistant I,484.0,208,16,241,19
141,4.0,Marketing Manager,343.0,215,10,101,17
142,1.0,Senior Sales Associate,200.0,75,22,95,8
143,1.0,Research Nurse,533.0,230,12,278,13
144,0.0,Statistician III,420.0,224,36,140,20
145,5.0,Staff Scientist,385.0,110,19,238,18
146,4.0,Financial Analyst,467.0,149,22,292,4
147,1.0,GIS Technical Architect,508.0,227,45,223,13
148,3.0,Biostatistician II,299.0,163,10,120,6
149,0.0,Assistant Media Planner,222.0,128,12,74,8
150,1.0,Budget/Accounting Analyst II,477.0,151,42,266,18
151,1.0,Clinical Specialist,317.0,72,26,200,19
152,5.0,Senior Sales Associate,391.0,74,27,279,11
153,3.0,VP Marketing,422.0,67,43,292,20
154,3.0,Actuary,196.0,48,12,133,3
155,1.0,Executive Secretary,454.0,223,34,192,5
156,3.0,Nurse,465.0,180,49,227,9
157,1.0,Biostatistician III,199.0,123,10,49,17
158,5.0,Programmer Analyst III,423.0,89,41,274,19
159,5.0,Social Worker,365.0,208,19,130,8
160,2.0,Legal Assistant,411.0,112,28,265,6
161,4.0,VP Product Management,285.0,30,21,224,10
162,1.0,Account Coordinator,383.0,65,8,300,10
163,4.0,Cost Accountant,339.0,77,39,204,19
164,0.0,Clinical Specialist,268.0,31,47,174,16
165,5.0,Executive Secretary,319.0,156,17,137,9
166,3.0,Technical Writer,263.0,123,41,82,17
167,2.0,Junior Executive,216.0,45,7,161,3
168,3.0,Associate Professor,398.0,82,30,272,14
169,0.0,Assistant Media Planner,191.0,101,7,63,20
170,3.0,Developer III,316.0,109,33,155,19
171,1.0,Account Executive,282.0,149,19,107,7
172,2.0,Tax Accountant,281.0,151,42,80,8
173,3.0,Actuary,321.0,187,26,96,12
174,0.0,Database Administrator II,372.0,108,36,218,10
175,4.0,Administrative Officer,350.0,31,35,280,4
176,4.0,Technical Writer,115.0,43,11,51,10
177,3.0,Graphic Designer,303.0,200,41,51,11
178,0.0,Marketing Assistant,470.0,178,22,255,15
179,2.0,Biostatistician I,333.0,23,26,267,17
180,5.0,Librarian,400.0,250,41,103,6
181,1.0,Payment Adjustment Coordinator,392.0,145,14,216,17
182,5.0,Marketing Assistant,246.0,120,13,108,5
183,5.0,Cost Accountant,412.0,85,48,276,3
184,5.0,Software Engineer II,344.0,208,43,75,18
185,1.0,Graphic Designer,466.0,236,50,172,8
186,3.0,Graphic Designer,380.0,107,46,218,9
187,0.0,Staff Scientist,390.0,166,43,163,18
188,4.0,Help Desk Operator,194.0,43,8,129,14
189,0.0,Dental Hygienist,349.0,175,50,122,2
190,4.0,Occupational Therapist,268.0,93,26,133,16
191,0.0,VP Quality Control,187.0,75,34,64,14
192,4.0,Assistant Manager,185.0,87,37,58,3
193,1.0,Registered Nurse,399.0,99,24,257,19
194,4.0,Marketing Assistant,371.0,92,8,259,12
195,0.0,Health Coach IV,287.0,39,11,225,12
196,2.0,Financial Analyst,476.0,175,39,252,10
197,2.0,Community Outreach Specialist,169.0,20,45,93,11
198,0.0,Office Assistant IV,277.0,120,30,108,19
199,0.0,Software Engineer III,364.0,148,8,191,17
200,1.0,Senior Developer,382.0,129,20,218,15
201,4.0,Software Consultant,233.0,34,25,165,9
202,5.0,Assistant Professor,406.0,216,11,171,8
203,4.0,Nurse Practicioner,229.0,79,26,122,2
204,0.0,Automation Specialist III,316.0,71,10,217,18
205,2.0,Nuclear Power Engineer,399.0,111,11,272,5
206,4.0,Software Test Engineer III,480.0,189,11,278,2
207,0.0,Editor,193.0,82,19,76,16
208,1.0,Chemical Engineer,450.0,187,16,235,12
209,3.0,Operator,396.0,203,42,143,8
210,0.0,Clinical Specialist,321.0,150,35,116,20
211,2.0,Environmental Tech,498.0,183,34,269,12
212,1.0,Analyst Programmer,389.0,180,21,181,7
213,4.0,Assistant Media Planner,520.0,216,8,290,6
214,5.0,Design Engineer,452.0,183,27,233,9
215,4.0,Software Engineer I,445.0,186,9,246,4
216,4.0,Assistant Media Planner,225.0,39,16,165,5
217,2.0,Graphic Designer,316.0,212,24,61,19
218,3.0,Analog Circuit Design manager,361.0,211,12,130,8
219,4.0,Physical Therapy Assistant,280.0,73,46,144,17
220,0.0,Administrative Officer,282.0,158,14,108,2
221,2.0,Senior Cost Accountant,188.0,42,5,126,15
222,4.0,Editor,433.0,177,35,202,19
223,4.0,Software Test Engineer III,397.0,219,8,157,13
224,5.0,VP Accounting,331.0,226,35,63,7
225,1.0,Human Resources Assistant IV,325.0,107,50,153,15
226,3.0,Geologist IV,282.0,79,28,163,12
227,1.0,Geological Engineer,404.0,167,7,219,11
228,2.0,Administrative Officer,254.0,73,10,167,4
229,3.0,Information Systems Manager,263.0,151,34,73,5
230,5.0,VP Quality Control,573.0,249,39,273,12
231,2.0,Administrative Assistant III,501.0,212,17,265,7
232,1.0,Product Engineer,573.0,250,48,270,5
233,4.0,Structural Engineer,379.0,177,21,178,3
234,2.0,Environmental Specialist,329.0,211,16,92,10
235,3.0,Sales Associate,465.0,112,39,295,19
236,5.0,Staff Scientist,370.0,134,24,200,12
237,4.0,Help Desk Operator,143.0,23,39,73,8
238,3.0,Mechanical Systems Engineer,331.0,79,12,230,10
239,5.0,Structural Engineer,460.0,188,38,226,8
240,2.0,Social Worker,352.0,31,50,258,13
241,5.0,Design Engineer,342.0,136,45,158,3
242,3.0,Accountant III,235.0,116,33,69,17
243,4.0,Statistician I,225.0,26,7,174,18
244,3.0,Software Engineer IV,310.0,86,12,199,13
245,1.0,Automation Specialist II,275.0,62,5,192,16
246,3.0,Speech Pathologist,430.0,135,14,266,15
247,3.0,Nurse,508.0,190,28,270,20
248,4.0,Marketing Manager,417.0,220,8,170,19
249,2.0,Director of Sales,368.0,136,46,172,14
250,5.0,Design Engineer,389.0,197,26,159,7
251,3.0,Pharmacist,379.0,66,8,293,12
252,3.0,Product Engineer,386.0,111,15,253,7
253,5.0,Operator,305.0,105,21,171,8
254,5.0,Recruiter,315.0,242,7,62,4
255,1.0,Design Engineer,378.0,231,21,120,6
256,4.0,Technical Writer,312.0,180,35,90,7
257,3.0,Software Consultant,406.0,241,8,152,5
258,5.0,VP Product Management,323.0,207,35,72,9
259,2.0,Assistant Media Planner,387.0,216,44,122,5
260,4.0,Office Assistant IV,392.0,191,33,165,3
261,1.0,Professor,454.0,176,46,214,18
262,2.0,Associate Professor,515.0,202,13,284,16
263,2.0,Biostatistician III,405.0,174,24,200,7
264,3.0,Environmental Specialist,356.0,109,13,228,6
265,3.0,Product Engineer,467.0,118,41,288,20
266,1.0,Structural Analysis Engineer,310.0,134,16,142,18
267,3.0,Teacher,353.0,62,32,245,14
268,5.0,Web Developer I,369.0,26,41,295,7
269,2.0,Geologist II,403.0,177,48,164,14
270,4.0,Professor,394.0,61,39,290,4
271,1.0,Software Engineer I,277.0,102,45,115,15
272,2.0,Engineer II,402.0,249,47,95,11
273,5.0,Programmer IV,365.0,85,37,240,3
274,0.0,Quality Control Specialist,312.0,72,18,203,19
275,0.0,Programmer III,382.0,185,49,128,20
276,5.0,Research Associate,383.0,69,9,297,8
277,1.0,Marketing Manager,409.0,71,40,281,17
278,2.0,Technical Writer,516.0,222,25,264,5
279,0.0,Assistant Professor,364.0,226,41,93,4
280,0.0,Information Systems Manager,394.0,221,17,136,20
281,2.0,Administrative Officer,231.0,39,16,157,19
282,4.0,VP Product Management,214.0,102,24,80,8
283,0.0,Structural Engineer,383.0,88,23,270,2
284,5.0,Dental Hygienist,309.0,77,24,188,20
285,0.0,Operator,400.0,108,48,226,18
286,5.0,Nurse Practicioner,265.0,98,20,143,4
287,5.0,Media Manager II,402.0,219,41,137,5
288,2.0,Automation Specialist II,520.0,242,26,236,16
289,2.0,Pharmacist,346.0,139,41,163,3
290,4.0,Software Test Engineer IV,311.0,52,19,228,12
291,2.0,Financial Analyst,233.0,100,40,82,11
292,0.0,Internal Auditor,509.0,183,20,290,16
293,2.0,Quality Control Specialist,358.0,154,30,169,5
294,2.0,Community Outreach Specialist,300.0,185,49,64,2
295,0.0,Associate Professor,422.0,121,41,245,15
296,2.0,Registered Nurse,415.0,67,44,287,17
297,0.0,Research Assistant I,326.0,37,13,272,4
298,1.0,Actuary,523.0,250,32,223,18
299,4.0,Food Chemist,176.0,65,43,66,2
300,0.0,Administrative Officer,184.0,73,44,49,18
301,0.0,Junior Executive,246.0,144,6,89,7
302,1.0,Marketing Assistant,478.0,160,41,268,9
303,5.0,Assistant Professor,411.0,122,29,250,10
304,4.0,Clinical Specialist,482.0,248,41,179,14
305,2.0,Social Worker,509.0,165,32,296,16
306,3.0,Assistant Media Planner,168.0,49,13,94,12
307,0.0,Web Designer II,354.0,97,48,202,7
308,5.0,Account Representative II,312.0,30,26,238,18
309,5.0,Account Executive,481.0,215,16,237,13
310,5.0,Chemical Engineer,287.0,126,38,121,2
311,5.0,Senior Cost Accountant,291.0,36,44,192,19
312,5.0,VP Marketing,106.0,20,28,56,2
313,2.0,Associate Professor,415.0,123,22,267,3
314,0.0,Software Engineer II,248.0,126,33,73,16
315,2.0,Desktop Support Technician,297.0,39,48,208,2
316,0.0,Structural Analysis Engineer,343.0,20,34,272,17
317,1.0,Nurse,422.0,163,32,215,12
318,5.0,Geologist IV,310.0,27,26,248,9
319,3.0,VP Sales,558.0,216,37,299,6
320,2.0,Social Worker,382.0,31,45,294,12
321,1.0,Cost Accountant,452.0,143,30,259,20
322,2.0,Nuclear Power Engineer,298.0,121,39,130,8
323,5.0,Mechanical Systems Engineer,306.0,137,36,127,6
324,1.0,Database Administrator II,187.0,55,20,101,11
325,1.0,Research Nurse,338.0,25,12,299,2
326,3.0,Administrative Assistant IV,228.0,24,18,174,12
327,4.0,Account Representative IV,245.0,61,13,163,8
328,4.0,Computer Systems Analyst IV,359.0,233,40,78,8
329,0.0,Director of Sales,199.0,84,44,57,14
330,0.0,Analyst Programmer,304.0,35,8,255,6
331,4.0,Social Worker,356.0,90,42,222,2
332,0.0,Human Resources Assistant IV,340.0,123,21,182,14
333,0.0,Budget/Accounting Analyst III,245.0,118,39,77,11
334,3.0,Computer Systems Analyst III,352.0,175,28,147,2
335,2.0,Executive Secretary,223.0,86,23,97,17
336,3.0,Statistician III,289.0,115,18,152,4
337,0.0,Food Chemist,323.0,92,50,171,10
338,0.0,Help Desk Technician,306.0,184,11,100,11
339,1.0,Systems Administrator I,288.0,65,27,177,19
340,0.0,Librarian,449.0,158,11,268,12
341,4.0,Account Coordinator,436.0,179,21,220,16
342,5.0,Senior Sales Associate,236.0,86,18,124,8
343,1.0,Legal Assistant,460.0,217,29,199,15
344,1.0,Professor,303.0,211,13,75,4
345,2.0,Sales Associate,281.0,198,13,51,19
346,1.0,Quality Engineer,468.0,155,43,254,16
347,5.0,Recruiting Manager,247.0,36,50,152,9
348,5.0,Engineer III,514.0,218,30,257,9
349,1.0,Developer I,442.0,139,7,286,10
350,1.0,Graphic Designer,133.0,21,32,60,20
351,5.0,Legal Assistant,323.0,25,39,255,4
352,4.0,Project Manager,439.0,106,49,265,19
353,3.0,Desktop Support Technician,480.0,211,5,249,15
354,2.0,Quality Control Specialist,357.0,116,15,217,9
355,0.0,VP Accounting,431.0,117,19,286,9
356,2.0,VP Quality Control,322.0,152,42,118,10
357,5.0,Occupational Therapist,434.0,82,39,297,16
358,4.0,Research Assistant I,249.0,138,5,95,11
359,1.0,Chief Design Engineer,375.0,157,28,187,3
360,3.0,Senior Financial Analyst,145.0,69,10,58,8
361,0.0,Analog Circuit Design manager,157.0,60,42,45,10
362,4.0,Registered Nurse,523.0,228,18,258,19
363,4.0,Statistician IV,146.0,39,40,50,17
364,3.0,Engineer IV,519.0,188,30,297,4
365,5.0,VP Quality Control,492.0,222,42,220,8
366,2.0,Help Desk Technician,384.0,247,38,81,18
367,4.0,Graphic Designer,246.0,46,9,183,8
368,3.0,Marketing Assistant,259.0,72,25,147,15
369,5.0,VP Sales,303.0,163,47,79,14
370,5.0,Quality Control Specialist,304.0,175,20,100,9
371,5.0,Nurse Practicioner,289.0,135,25,122,7
372,0.0,Computer Systems Analyst III,283.0,119,28,118,18
373,0.0,Occupational Therapist,447.0,173,40,218,16
374,1.0,Software Engineer III,331.0,94,8,209,20
375,1.0,Account Representative II,416.0,151,29,232,4
376,4.0,Legal Assistant,305.0,121,20,156,8
377,2.0,Civil Engineer,235.0,75,30,112,18
378,2.0,Senior Editor,519.0,175,48,276,20
379,5.0,Quality Control Specialist,260.0,160,20,60,20
380,5.0,Computer Systems Analyst II,143.0,63,14,50,16
381,2.0,Business Systems Development Analyst,233.0,101,38,92,2
382,0.0,Accounting Assistant I,241.0,139,11,75,16
383,2.0,VP Quality Control,219.0,80,7,127,5
384,2.0,Human Resources Assistant I,408.0,75,41,274,18
385,5.0,Physical Therapy Assistant,381.0,68,32,278,3
386,2.0,Assistant Professor,281.0,141,25,104,11
387,2.0,Pharmacist,261.0,55,18,179,9
388,3.0,Senior Editor,242.0,137,11,87,7
389,3.0,Chemical Engineer,321.0,55,22,229,15
390,4.0,Programmer Analyst I,378.0,250,36,83,9
391,0.0,Senior Financial Analyst,174.0,64,27,78,5
392,5.0,Physical Therapy Assistant,210.0,122,7,76,5
393,2.0,Actuary,333.0,207,28,95,3
394,5.0,Programmer Analyst III,371.0,33,34,293,11
395,1.0,Structural Analysis Engineer,294.0,184,41,61,8
396,0.0,Paralegal,376.0,222,28,118,8
397,4.0,Product Engineer,428.0,205,47,159,17
398,5.0,Payment Adjustment Coordinator,151.0,56,11,80,4
399,4.0,Web Developer II,423.0,171,41,193,18
400,0.0,Paralegal,196.0,64,39,88,5
401,0.0,Administrative Assistant IV,288.0,111,28,131,18
402,5.0,Staff Scientist,516.0,225,25,256,10
403,4.0,Design Engineer,422.0,143,43,218,18
404,3.0,Legal Assistant,251.0,100,31,103,17
405,1.0,Electrical Engineer,448.0,116,39,277,16
406,1.0,Environmental Tech,426.0,91,28,288,19
407,4.0,Business Systems Development Analyst,300.0,66,5,214,15
408,5.0,Geological Engineer,363.0,184,17,150,12
409,5.0,Research Nurse,305.0,72,13,204,16
410,2.0,Automation Specialist I,319.0,202,48,65,4
411,0.0,Senior Cost Accountant,485.0,146,40,282,17
412,0.0,Nuclear Power Engineer,489.0,199,7,272,11
413,4.0,Teacher,494.0,206,9,273,6
414,2.0,Data Coordiator,471.0,207,21,228,15
415,3.0,VP Accounting,315.0,149,26,128,12
416,4.0,VP Product Management,220.0,96,7,105,12
417,3.0,Systems Administrator IV,289.0,171,46,69,3
418,1.0,Human Resources Manager,316.0,186,31,87,12
419,5.0,Quality Engineer,447.0,168,22,244,13
420,0.0,Graphic Designer,370.0,236,46,85,3
421,4.0,Desktop Support Technician,450.0,249,39,160,2
422,0.0,Administrative Assistant I,436.0,218,42,173,3
423,5.0,Developer IV,309.0,37,21,237,14
424,3.0,Analog Circuit Design manager,368.0,126,35,199,8
425,3.0,Project Manager,374.0,98,45,229,2
426,5.0,Desktop Support Technician,389.0,71,21,283,14
427,0.0,Registered Nurse,397.0,80,20,279,18
428,2.0,Human Resources Manager,470.0,171,40,256,3
429,2.0,Senior Financial Analyst,422.0,113,6,291,12
430,3.0,Financial Analyst,316.0,93,20,183,20
431,1.0,Computer Systems Analyst II,397.0,111,10,273,3
432,4.0,Project Manager,439.0,172,40,221,6
433,2.0,GIS Technical Architect,353.0,248,23,74,8
434,2.0,Editor,405.0,156,43,187,19
435,5.0,Research Assistant III,567.0,238,30,280,19
436,2.0,Payment Adjustment Coordinator,382.0,80,19,271,12
437,0.0,Associate Professor,338.0,238,15,71,14
438,4.0,Mechanical Systems Engineer,440.0,126,15,287,12
439,5.0,Assistant Professor,273.0,39,47,171,16
440,0.0,Civil Engineer,504.0,232,47,219,6
441,3.0,Speech Pathologist,309.0,75,18,207,9
442,4.0,Staff Accountant I,397.0,76,12,294,15
443,0.0,Nurse Practicioner,450.0,222,45,181,2
444,4.0,Developer I,324.0,110,17,189,8
445,4.0,Associate Professor,321.0,132,25,147,17
446,4.0,Financial Analyst,280.0,165,16,97,2
447,0.0,Chemical Engineer,315.0,52,42,215,6
448,5.0,Environmental Tech,241.0,120,19,95,7
449,3.0,Internal Auditor,410.0,108,11,279,12
450,1.0,Database Administrator II,188.0,38,28,106,16
451,5.0,Programmer Analyst I,296.0,72,49,172,3
452,4.0,Marketing Manager,468.0,246,11,202,9
453,0.0,Structural Analysis Engineer,535.0,181,40,298,16
454,0.0,Media Manager III,359.0,108,48,199,4
455,3.0,Administrative Officer,450.0,217,12,209,12
456,5.0,Health Coach II,167.0,66,15,81,5
457,3.0,Director of Sales,478.0,226,40,198,14
458,3.0,Food Chemist,385.0,206,17,148,14
459,2.0,Senior Cost Accountant,354.0,115,7,217,15
460,3.0,Senior Financial Analyst,342.0,111,34,189,8
461,4.0,Geological Engineer,367.0,85,28,249,5
462,5.0,Technical Writer,421.0,148,14,252,7
463,1.0,Help Desk Operator,392.0,131,28,214,19
464,3.0,Systems Administrator II,328.0,184,44,97,3
465,0.0,Assistant Media Planner,326.0,110,10,203,3
466,2.0,Web Designer IV,389.0,207,29,138,15
467,0.0,Financial Analyst,237.0,83,20,132,2
468,1.0,Engineer I,314.0,50,31,214,19
469,0.0,Accountant I,461.0,225,48,175,13
470,2.0,Legal Assistant,258.0,127,16,97,18
471,4.0,Assistant Professor,506.0,226,33,235,12
472,1.0,Civil Engineer,538.0,175,49,300,14
473,2.0,Programmer Analyst II,359.0,56,21,268,14
474,4.0,Nuclear Power Engineer,416.0,167,33,204,12
475,5.0,Health Coach II,437.0,172,22,225,18
476,2.0,Budget/Accounting Analyst I,374.0,234,5,126,9
477,1.0,Design Engineer,485.0,166,27,280,12
478,1.0,Nurse Practicioner,212.0,65,20,108,19
479,3.0,Administrative Officer,319.0,90,47,178,4
480,2.0,Mechanical Systems Engineer,415.0,191,29,180,15
481,1.0,VP Quality Control,421.0,87,26,297,11
482,5.0,Recruiting Manager,399.0,195,8,180,16
483,3.0,Mechanical Systems Engineer,262.0,128,13,112,9
484,0.0,Clinical Specialist,209.0,89,50,63,7
485,3.0,Actuary,446.0,114,40,284,8
486,4.0,Quality Engineer,358.0,99,5,234,20
487,3.0,Media Manager I,263.0,150,23,75,15
488,3.0,Senior Editor,433.0,145,25,252,11
489,3.0,Associate Professor,405.0,234,11,147,13
490,5.0,Senior Cost Accountant,239.0,98,35,88,18
491,5.0,Geologist II,291.0,55,7,209,20
492,0.0,Actuary,285.0,155,50,71,9
493,4.0,Structural Engineer,316.0,193,43,77,3
494,4.0,Geologist III,401.0,214,39,136,12
495,1.0,Help Desk Operator,468.0,184,8,266,10
496,5.0,Product Engineer,271.0,48,18,194,11
497,0.0,Recruiting Manager,347.0,236,10,89,12
498,4.0,Operator,185.0,37,25,114,9
499,2.0,Software Consultant,441.0,176,6,254,5
500,0.0,Occupational Therapist,255.0,29,26,194,6
501,0.0,Budget/Accounting Analyst II,356.0,212,29,107,8
502,2.0,Tax Accountant,270.0,24,37,201,8
503,0.0,Social Worker,392.0,102,32,252,6
504,5.0,Research Assistant IV,329.0,199,14,98,18
505,5.0,GIS Technical Architect,353.0,109,25,206,13
506,2.0,VP Accounting,407.0,129,15,252,11
507,3.0,Recruiter,512.0,243,6,244,19
508,3.0,Senior Developer,339.0,195,17,125,2
509,4.0,Research Assistant II,277.0,124,8,129,16
510,0.0,Account Representative III,494.0,218,20,236,20
511,5.0,Project Manager,262.0,54,44,157,7
512,2.0,Pharmacist,275.0,144,44,79,8
513,0.0,Web Developer IV,221.0,131,14,59,17
514,2.0,Account Coordinator,271.0,76,30,157,8
515,1.0,Editor,312.0,54,10,235,13
516,4.0,Safety Technician I,330.0,101,19,190,20
517,2.0,Graphic Designer,507.0,206,48,249,4
518,1.0,Automation Specialist I,391.0,144,14,229,4
519,2.0,Product Engineer,336.0,100,26,201,9
520,2.0,Structural Engineer,271.0,128,13,121,9
521,3.0,Paralegal,400.0,155,12,223,10
522,2.0,Editor,335.0,68,20,243,4
523,0.0,Help Desk Operator,367.0,241,41,78,7
524,0.0,Automation Specialist III,314.0,245,8,57,4
525,3.0,Help Desk Technician,264.0,147,44,59,14
526,4.0,Nurse Practicioner,384.0,155,20,202,7
527,4.0,Registered Nurse,394.0,210,20,161,3
528,1.0,Director of Sales,448.0,246,15,171,16
529,5.0,Senior Editor,296.0,184,14,95,3
530,2.0,Programmer II,136.0,54,10,64,8
531,1.0,Junior Executive,426.0,151,25,243,7
